College Name,Website,City,State,Data Analytics Only,Data Analytics degree/cert Offered,Data Science degree/cert Offered,Offers Certificate,Offers AS,Offer Data Science Course,COUNTY,LATITUDE,LONGITUDE
Mt. San Antonio College,https://catalog.mtsac.edu/programs/programsaz/computer-database-management-systems/big-data-analytics-degree/,Walnut,California,1,1,0,1,1,1,Los Angeles,34.0176,-117.8636
Santa Ana College,https://sac.curriqunet.com/catalog/alias/santaanacollegecatalog/iq/26227/26241/26402/26952,Santa Ana,California,1,1,0,1,0,0,Orange,33.75016,-117.857665
East Los Angeles College,https://programmap.elac.edu/academics/programs/d8c96244-5415-26c2-1f39-fe7b5aefac5e,Los Angeles,California,0,1,1,1,0,1,Los Angeles,33.973093,-118.247896
Bakersfield College,"https://bakersfield.elumenapp.com/catalog/2024-2025/program,data-analyst-apprenticeship-certificate-of-achievement-summer-2023#mainContent",Bakersfield,California,1,1,0,1,0,1,Kern,35.386611,-119.017063
American Rivers College,,Sacramento,California,0,0,0,0,0,0,Sacramento,38.5816,-121.4933
Santa Monica College,https://catalog.smc.edu/current/degrees-certificates-transfer/computer-science.php#css-id,Santa Monica,California,1,1,0,1,0,1,Los Angeles,34.017628,-118.490708
Pasadena City College,https://curriculum.pasadena.edu/academic-programs/computer-science/data-science-as-cert-achievement/#text,Pasadena,California,0,0,1,1,1,1,Los Angeles,34.146762,-118.139119
City College of San Francisco,https://www.ccsf.edu/degrees-certificates/data-science,San Francisco,California,0,1,1,1,1,1,San Francisco,37.775,-122.4183
Long Beach City College,https://lbcc-public.courseleaf.com/degrees-certificates/data-analytics/data-analytics-as/,Long Beach,California,1,1,0,1,1,0,Los Angeles,33.7705,-118.1885
Fresno City College,https://www.fresnocitycollege.edu/academics/guided-pathways/business-pathway/programs/data-analytics.html,Fresno,California,1,1,0,1,1,1,Fresno,36.841107,-119.800359
Saddleback College,https://saddleback.curriqunet.com/catalog/iq/15094/15834/18466/15145,Mission Viejo,California,1,1,0,1,0,1,Orange,33.6,-117.6711
Cerritos College,,Norwalk,California,0,0,0,0,0,0,Los Angeles,33.90564,-118.081767
Santa Rosa Junior College,https://cs.santarosa.edu/data,Santa Rosa,California,0,0,0,0,0,1,Sonoma,38.443123,-122.751722
El Camino College,https://www.elcamino.edu/news/el-camino-college-receives-grant-for-data-science-curriculum.php,Alondra Park,California,0,0,0,0,0,1,Los Angeles,33.885658,-118.326599
Riverside City Community College,https://rccd.curriqunet.com/catalog/alias/rcc-24-25/iq/918/943/1107,Riverside,California,0,1,1,1,1,1,Riverside,33.9924,-117.369421
Chaffey College,https://colss-prod.ec.chaffey.edu/Student/Courses/Search?subjects=CISPROG,Rancho Cucamonga,California,0,0,0,0,0,1,San Bernardino,34.133922,-117.599149
Palomar College,https://www.palomar.edu/csit/data-science/,San Diego,California,0,1,1,1,1,1,San Diego,32.71852,-117.159316
College of the Canyons,,Santa Clarita,California,0,0,0,0,0,0,Los Angeles,34.459742,-118.488955
Southwestern College,,Chula Vista,California,0,0,0,0,0,0,San Diego,32.64,-117.0833
San Diego Mesa College,,San Diego,California,0,0,0,0,0,0,San Diego,32.71852,-117.159316
Mt. San Jacinto College,,Mt. San Jacinto,California,0,0,0,0,0,0,Riverside,33.6768,-117.165337
Sacramento City College,https://scc.losrios.edu/academics/programs-and-majors/data-science-as-degree-map,Sacramento,California,0,1,1,1,1,1,Sacramento,38.5816,-121.4933
Rio Hondo College,https://pathways.riohondo.edu/course/dsci-100/,Whittier,California,0,0,0,0,0,1,Los Angeles,34.001119,-118.037139
Fullerton College,,Fullerton,California,0,0,0,0,0,0,Orange,33.8796,-117.8951
San Joaquin Delta College,,Stockton,California,0,0,0,0,0,0,San Joaquin,37.958,-121.2876
Los Angeles Pierce College,https://www.lapc.edu/sites/lapc.edu/files/2024-08/LAPC%20General%20Catalog%202024-2025_FINAL.pdf,Woodland Hills,California,0,0,0,0,0,1,Los Angeles,34.155652,-118.600019
Santiago Canyone College,"https://sccollege.edu/pathways/STEM/SitePages/Data-Science,-AS.aspx",Orange,California,0,0,1,0,1,1,Orange,33.7877,-117.8755
Sierra College,https://catalog.sierracollege.edu/departments/infotech/#dataas,Rocklin,California,1,1,0,1,1,0,Placer,38.791898,-121.243406
Orange Coast College,https://catalog.cccd.edu/orange-coast/course-descriptions/credit-courses/cis/,Costa Mesa,California,0,0,0,0,0,1,Orange,33.677711,-117.909623
Los Angeles Valley College,https://programmap.lavc.edu/academics/interest-clusters/fa0e4bcf-46df-4fc9-9644-d76f437c1560/programs/7fa8d9da-5d63-641d-3612-05f776b8d4fe,Los Angeles,California,1,1,0,1,0,1,Los Angeles,33.973093,-118.247896
Modesto Junior College,,Modesto,California,0,0,0,0,0,0,Stanislaus,37.674649,-121.011303
De Anza College,http://ecms.deanza.edu/outlineprintpublic.html?catalogID=13779,Cupertino,California,0,0,0,0,0,1,Santa Clara,37.317363,-122.038604
Los Angeles City College,https://programmap.lacitycollege.edu/academics/interest-clusters/51c3d91b-f44a-4091-ba30-5bfda01c5530/programs/8f77be31-e264-3afc-d02f-058eeebcf4dd,Los Angeles,California,1,1,0,1,0,0,Los Angeles,33.973093,-118.247896
Santa Barbara City College,https://degree-map.sbcc.edu/academics/interest-clusters/527f4c2b-5d31-4b4d-b0de-89c5bc052339/programs/28c01085-cac3-3533-34ba-86924aaf6480,Santa Barbara,California,0,0,1,1,1,1,Santa Barbara,34.419668,-119.70782
